Rank,Count (Max),Count (Avg)
0,81,81
1,18,18
2,30,39
3,33,33
4,21,21
5,12,21
6,12,18
7,12,18
8,18,30
9,15,33
10,12,12
11,15,21
12,24,33
13,21,45
14,21,36
15,24,18
16,33,48
17,33,75
18,33,90
19,42,90
20,60,72
21,78,81
22,75,66
23,51,60
24,51,63
25,54,63
26,57,93
27,57,69
28,63,87
29,72,99
30,72,114
31,63,87
32,63,150
33,78,156
34,75,168
35,78,165
36,72,204
37,90,225
38,102,222
39,117,246
40,99,264
41,78,270
42,72,270
43,105,240
44,102,189
45,117,195
46,129,162
47,153,156
48,138,129
49,141,135
50,132,129
51,129,111
52,141,135
53,168,156
54,180,126
55,168,138
56,186,123
57,183,99
58,171,81
59,171,60
60,189,66
61,180,33
62,177,18
63,189,6
64,195,0
65,174,0
66,141,0
67,111,0
68,75,0
69,66,0
70,63,0
71,60,0
72,42,0
73,39,0
74,42,0
75,39,0
76,39,0
77,27,0
78,12,0
