Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-106,0,0,0,0
A,-105,0,0,0,0
A,-104,0,0,0,0
A,-103,0,0,0,0
A,-102,0,0,0,0
A,-101,0,0,0,0
A,-100,0,0,0,0
A,-99,0,0,0,0
A,-98,0,0,0,0
A,-97,0,0,0,0
A,-96,0,0,0,0
A,-95,0,0,9,0
A,-94,0,0,0,0
A,-93,0,0,0,0
A,-92,0,0,6,0
A,-91,0,0,0,0
A,-90,0,0,0,0
A,-89,0,0,36,0
A,-88,0,0,0,0
A,-87,0,0,0,0
A,-86,0,0,66,0
A,-85,0,0,0,0
A,-84,0,0,0,0
A,-83,0,0,45,0
A,-82,0,0,0,0
A,-81,0,0,0,0
A,-80,0,0,12,0
A,-79,0,0,0,0
A,-78,0,0,0,0
A,-77,0,0,114,0
A,-76,0,0,0,0
A,-75,0,0,0,0
A,-74,0,0,57,0
A,-73,0,0,3,0
A,-72,0,0,0,0
A,-71,0,0,12,0
A,-70,0,0,12,0
A,-69,0,0,0,0
A,-68,0,0,0,48
A,-67,0,0,57,57
A,-66,0,0,9,57
A,-65,0,0,0,66
A,-64,0,0,90,30
A,-63,0,0,15,27
A,-62,0,0,3,27
A,-61,0,0,189,33
A,-60,0,0,39,9
A,-59,0,0,3,9
A,-58,0,0,474,6
A,-57,0,0,75,18
A,-56,0,0,3,6
A,-55,0,0,783,12
A,-54,0,0,177,15
A,-53,0,0,12,15
A,-52,0,0,1023,27
A,-51,0,0,519,39
A,-50,0,0,9,48
A,-49,0,0,711,54
A,-48,0,0,348,90
A,-47,0,0,15,123
A,-46,0,0,276,159
A,-45,0,0,120,330
A,-44,0,0,12,468
A,-43,0,0,792,510
A,-42,0,0,180,672
A,-41,0,0,45,438
A,-40,0,0,321,504
A,-39,0,0,264,441
A,-38,0,0,39,429
A,-37,0,0,1140,378
A,-36,0,0,687,444
A,-35,0,0,246,420
A,-34,0,0,1608,432
A,-33,0,0,672,600
A,-32,0,0,45,708
A,-31,0,0,1113,945
A,-30,0,0,789,1179
A,-29,0,0,270,1236
A,-28,0,0,966,1605
A,-27,0,0,540,1605
A,-26,0,0,36,1092
A,-25,0,0,1740,882
A,-24,0,0,1245,825
A,-23,0,0,129,954
A,-22,0,0,2748,1011
A,-21,0,0,2427,942
A,-20,0,0,138,894
A,-19,0,0,2532,924
A,-18,0,0,2019,1209
A,-17,0,0,243,1209
A,-16,0,0,1017,1302
A,-15,0,0,1458,1497
A,-14,0,0,162,1584
A,-13,0,0,1332,1488
A,-12,0,0,2640,1665
A,-11,0,0,393,1425
A,-10,0,0,1098,1731
A,-9,0,0,1518,1620
A,-8,0,0,285,1566
A,-7,0,0,1713,1506
A,-6,0,0,1320,1380
A,-5,0,0,402,1200
A,-4,0,0,1485,1242
A,-3,0,0,1191,1443
A,-2,0,0,531,4932
A,-1,0,0,13116,7668
A,0,36,36,2124,3042
A,1,3,3,13113,7665
A,2,3,3,528,4929
A,3,3,3,1188,1440
A,4,3,3,1482,1239
A,5,3,3,399,1197
A,6,3,3,1317,1377
A,7,3,3,1710,1503
A,8,3,3,282,1563
A,9,0,0,1518,1620
A,10,0,0,1098,1731
A,11,0,0,393,1425
A,12,0,0,2640,1665
A,13,0,0,1332,1488
A,14,0,0,162,1584
A,15,0,0,1458,1497
A,16,0,0,1017,1302
A,17,0,0,243,1209
A,18,0,0,2019,1209
A,19,0,0,2532,924
A,20,0,0,138,894
A,21,0,0,2427,942
A,22,0,0,2748,1011
A,23,0,6,129,948
A,24,6,18,1239,807
A,25,6,12,1734,870
A,26,6,6,30,1086
A,27,6,0,534,1605
A,28,6,0,960,1605
A,29,6,3,264,1233
A,30,6,0,783,1179
A,31,0,3,1113,942
A,32,0,3,45,705
A,33,3,3,669,597
A,34,3,3,1605,429
A,35,3,3,243,417
A,36,3,3,684,441
A,37,3,0,1137,378
A,38,3,0,36,429
A,39,3,0,261,441
A,40,0,0,321,504
A,41,0,0,45,438
A,42,0,0,180,672
A,43,0,0,792,510
A,44,0,24,12,444
A,45,0,24,120,306
A,46,0,9,276,150
A,47,6,9,9,114
A,48,9,3,339,87
A,49,9,6,702,48
A,50,9,3,0,45
A,51,9,3,510,36
A,52,9,3,1014,24
A,53,9,3,3,12
A,54,6,0,171,15
A,55,3,0,780,12
A,56,3,0,0,6
A,57,3,0,72,18
A,58,3,0,471,6
A,59,3,0,0,9
A,60,3,0,36,9
A,61,3,0,186,33
A,62,0,0,3,27
A,63,0,0,15,27
A,64,0,0,90,30
A,65,0,0,0,66
A,66,0,0,9,57
A,67,0,0,57,57
A,68,0,0,0,48
A,69,0,0,0,0
A,70,0,0,12,0
A,71,0,0,12,0
A,72,0,0,0,0
A,73,0,0,3,0
A,74,0,0,57,0
A,75,0,0,0,0
A,76,0,0,0,0
A,77,0,0,114,0
A,78,0,0,0,0
A,79,0,0,0,0
A,80,0,0,12,0
A,81,0,0,0,0
A,82,0,0,0,0
A,83,0,0,45,0
A,84,0,0,0,0
A,85,0,0,0,0
A,86,0,0,66,0
A,87,0,0,0,0
A,88,0,0,0,0
A,89,0,0,36,0
A,90,0,0,0,0
A,91,0,0,0,0
A,92,0,0,6,0
A,93,0,0,0,0
A,94,0,0,0,0
A,95,0,0,9,0
A,96,0,0,0,0
A,97,0,0,0,0
A,98,0,0,0,0
A,99,0,0,0,0
A,100,0,0,0,0
A,101,0,0,0,0
A,102,0,0,0,0
A,103,0,0,0,0
A,104,0,0,0,0
A,105,0,0,0,0
A,106,0,0,0,0
B,-106,0,0,0,0
B,-105,0,0,0,0
B,-104,0,0,0,0
B,-103,0,0,0,0
B,-102,0,0,0,0
B,-101,0,0,0,0
B,-100,0,0,0,0
B,-99,0,0,0,0
B,-98,0,0,0,0
B,-97,0,0,0,0
B,-96,0,0,0,0
B,-95,0,0,0,0
B,-94,0,0,0,0
B,-93,0,0,0,0
B,-92,0,0,0,0
B,-91,0,0,0,0
B,-90,0,0,0,0
B,-89,0,0,0,0
B,-88,0,0,3,0
B,-87,0,0,3,0
B,-86,0,0,0,0
B,-85,0,0,18,0
B,-84,0,0,18,0
B,-83,0,0,0,0
B,-82,0,0,18,0
B,-81,0,0,18,0
B,-80,0,0,0,0
B,-79,0,0,18,0
B,-78,0,0,21,0
B,-77,0,0,0,0
B,-76,0,0,51,0
B,-75,0,0,51,0
B,-74,0,0,0,0
B,-73,0,0,33,0
B,-72,0,0,33,0
B,-71,0,0,0,0
B,-70,0,0,18,0
B,-69,0,0,18,6
B,-68,0,0,0,21
B,-67,0,0,12,18
B,-66,0,0,12,21
B,-65,0,0,6,30
B,-64,0,0,9,42
B,-63,0,0,9,27
B,-62,0,0,6,30
B,-61,0,0,27,39
B,-60,0,0,3,21
B,-59,0,0,3,18
B,-58,0,0,0,18
B,-57,0,0,0,30
B,-56,0,0,3,15
B,-55,0,0,0,18
B,-54,0,0,0,18
B,-53,0,0,18,30
B,-52,0,0,6,3
B,-51,0,0,6,0
B,-50,0,0,21,3
B,-49,0,0,174,3
B,-48,0,0,12,9
B,-47,0,0,66,12
B,-46,0,0,18,24
B,-45,0,0,3,45
B,-44,0,0,117,105
B,-43,0,0,219,21
B,-42,0,0,3,3
