Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-3,0,0,144,144
A,-2,0,0,1104,1104
A,-1,0,0,2928,2928
A,0,720,720,3216,3216
A,1,936,936,1992,1992
A,2,504,504,600,600
A,3,108,108,36,36
B,-3,0,0,0,0
B,-2,0,0,768,768
B,-1,0,0,3072,3072
B,0,1008,1008,3600,3600
B,1,1008,1008,2064,2064
B,2,252,252,516,516
B,3,0,0,0,0
C,-3,0,0,0,0
C,-2,0,0,576,576
C,-1,0,0,3264,3264
C,0,1080,1080,3528,3528
C,1,864,864,2400,2400
C,2,324,324,252,252
C,3,0,0,0,0
D,-3,0,0,0,0
D,-2,0,0,576,576
D,-1,0,0,3264,3264
D,0,1080,1080,3528,3528
D,1,864,864,2400,2400
D,2,324,324,252,252
D,3,0,0,0,0
E,-3,0,0,0,0
E,-2,0,0,0,0
E,-1,0,0,3072,3072
E,0,1512,1512,4632,4632
E,1,756,756,2316,2316
E,2,0,0,0,0
E,3,0,0,0,0
F,-3,0,0,0,0
F,-2,0,0,576,576
F,-1,0,0,3264,3264
F,0,1080,1080,3528,3528
F,1,864,864,2400,2400
F,2,324,324,252,252
F,3,0,0,0,0
