Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-106,0,0,0,0,54,0
-105,18,0,0,0,27,0
-103,0,0,0,0,108,0
-102,54,0,0,0,69,0
-100,0,0,0,0,303,0
-99,51,0,0,0,132,0
-97,0,0,0,0,99,0
-96,45,0,0,0,72,0
-95,0,0,0,0,9,0
-94,0,0,0,0,60,0
-93,51,0,0,0,57,0
-92,0,0,0,0,6,0
-91,0,0,0,0,168,15
-90,102,12,0,0,153,78
-89,0,18,0,0,36,96
-88,0,18,0,0,102,60
-87,81,9,0,0,123,96
-86,0,12,0,0,75,54
-85,0,3,0,0,186,12
-84,126,0,0,0,189,6
-83,0,3,0,0,147,6
-82,0,0,0,0,135,15
-81,72,3,0,0,159,54
-80,0,24,0,0,75,108
-79,0,15,0,0,51,63
-78,48,0,0,0,90,6
-77,6,0,0,0,225,60
-76,3,18,0,0,90,87
-75,87,12,0,0,750,57
-74,9,15,0,0,744,57
-73,30,12,0,0,141,144
-72,66,12,0,0,108,87
-71,6,15,0,0,129,78
-70,72,33,0,0,141,69
-69,27,9,0,0,93,105
-68,3,63,0,0,318,285
-67,249,57,0,0,387,243
-66,48,45,0,0,165,288
-65,3,96,0,0,492,378
-64,339,129,0,0,507,363
-63,27,60,0,0,318,288
-62,6,93,0,0,1080,327
-61,744,108,0,0,1047,357
-60,15,96,0,0,381,381
-59,3,81,0,0,1557,306
-58,549,90,0,0,1200,378
-57,24,129,0,0,444,510
-56,3,129,0,0,1665,603
-55,906,48,0,0,2088,465
-54,12,129,0,0,822,525
-53,6,111,0,0,1683,501
-52,1317,114,0,0,3048,546
-51,15,135,0,0,891,645
-50,6,132,0,0,2292,627
-49,1335,216,0,0,2580,918
-48,45,336,0,0,795,1131
-47,21,321,0,0,3276,1134
-46,1572,270,0,0,2268,1170
-45,33,291,0,0,693,1440
-44,21,360,0,0,2778,1650
-43,1947,294,0,0,3393,1665
-42,33,234,0,0,672,1794
-41,27,339,0,0,4110,1914
-40,3201,471,0,0,3993,2181
-39,75,480,0,0,960,2328
-38,24,717,0,0,4485,2523
-37,3996,690,0,0,5133,2307
-36,48,648,0,0,1254,2640
-35,18,747,0,0,5772,3012
-34,5196,840,0,0,6795,3051
-33,33,1113,0,0,1206,4071
-32,15,1458,0,0,5169,4527
-31,3996,1824,0,0,5514,4773
-30,18,1761,0,0,1326,5454
-29,21,2142,0,0,6306,6648
-28,4758,2721,0,0,7131,7737
-27,15,3243,0,0,1062,8319
-26,6,2763,0,0,6774,7917
-25,6528,2358,0,0,9237,7323
-24,9,2433,0,0,1668,7860
-23,6,2994,0,0,8958,9024
-22,7524,3618,0,0,10707,8979
-21,9,3213,0,0,2652,8607
-20,9,4284,0,0,7245,9384
-19,8115,3975,0,0,13734,8757
-18,9,3723,0,0,2622,9294
-17,12,3681,0,0,13086,8724
-16,10263,3567,0,0,17037,8766
-15,12,3567,0,0,1926,9249
-14,9,3435,0,0,12810,9201
-13,18252,3492,0,0,24093,9489
-12,9,3654,0,0,3036,10989
-11,9,3072,0,0,19485,11547
-10,18954,2949,0,0,24102,11664
-9,9,3771,0,0,2163,13143
-8,6,4386,0,0,22485,13833
-7,25188,4965,0,0,30378,15621
-6,6,6828,0,0,2706,18189
-5,12,8787,0,0,26520,20745
-4,37194,12483,0,0,43542,26541
-3,15,18426,0,0,6126,36078
-2,15,30189,0,0,30786,57306
-1,131238,80550,0,0,139410,106527
0,0,32055,348,348,9732,87486
1,3,6909,42,42,139368,106485
2,3,2367,24,45,30762,57261
3,3,1080,30,39,6096,36039
4,3,702,27,30,43515,26511
5,3,372,36,21,26484,20724
6,3,192,27,33,2679,18156
7,3,225,12,9,30366,15612
8,3,123,15,18,22470,13815
9,0,195,24,27,2139,13116
10,0,111,12,15,24090,11649
11,0,21,18,15,19467,11532
12,0,0,15,21,3021,10968
13,0,0,30,18,24063,9471
14,0,0,15,24,12795,9177
15,0,0,21,18,1905,9231
16,0,0,12,12,17025,8754
17,0,0,24,15,13062,8709
18,0,0,9,15,2613,9279
19,0,0,9,12,13725,8745
20,0,0,9,6,7236,9378
21,0,0,24,12,2628,8595
22,0,0,6,12,10701,8967
23,0,3,6,18,8952,9006
24,3,9,15,30,1653,7830
25,3,6,33,36,9204,7287
26,3,3,12,39,6762,7878
